RESOURCE                                                                                                                 ROLE
//storage.googleapis.com/simplifymycloud-dev.appspot.com                                                                 ['roles/storage.legacyBucketOwner', 'roles/storage.legacyBucketReader']
//storage.googleapis.com/simplifymycloud-dev-terraform-state                                                             ['roles/storage.legacyBucketOwner', 'roles/storage.legacyBucketReader', 'roles/storage.objectAdmin']
//cloudkms.googleapis.com/projects/simplifymycloud-dev/locations/global/keyRings/berglas/cryptoKeys/berglas-key          ['roles/cloudkms.cryptoKeyDecrypter']
//storage.googleapis.com/smc-gcp-dev-secret-bucket                                                                       ['roles/storage.legacyBucketOwner']
//storage.googleapis.com/smc-terraform-state-files-dev                                                                   ['roles/storage.legacyBucketOwner', 'roles/storage.legacyBucketReader']
//storage.googleapis.com/daily-usage-smc-dev                                                                             ['roles/storage.legacyBucketOwner', 'roles/storage.legacyBucketReader', 'roles/storage.legacyBucketWriter']
//iam.googleapis.com/projects/simplifymycloud-dev/serviceAccounts/288261943767-compute@developer.gserviceaccount.com     ['roles/iam.serviceAccountUser']
//cloudresourcemanager.googleapis.com/projects/simplifymycloud-dev                                                       ['roles/accesscontextmanager.policyEditor', 'roles/aiplatform.customCodeServiceAgent', 'roles/aiplatform.serviceAgent', 'roles/appengine.serviceAgent', 'roles/appengineflex.serviceAgent', 'roles/artifactregistry.serviceAgent', 'roles/cloudaicompanion.serviceAgent', 'roles/cloudaicompanion.user', 'roles/cloudbuild.builds.builder', 'roles/cloudbuild.serviceAgent', 'roles/cloudconfig.serviceAgent', 'roles/cloudfunctions.serviceAgent', 'roles/cloudkms.serviceAgent', 'roles/cloudsecuritycompliance.serviceAgent', 'roles/compute.admin', 'roles/compute.instanceAdmin.v1', 'roles/compute.networkUser', 'roles/compute.serviceAgent', 'roles/compute.storageAdmin', 'roles/container.admin', 'roles/container.defaultNodeServiceAgent', 'roles/container.serviceAgent', 'roles/containeranalysis.ServiceAgent', 'roles/containerregistry.ServiceAgent', 'roles/containerscanning.ServiceAgent', 'roles/dataflow.serviceAgent', 'roles/dataproc.serviceAgent', 'roles/discoveryengine.serviceAgent', 'roles/editor', 'roles/file.serviceAgent', 'roles/firebase.managementServiceAgent', 'roles/firebaserules.system', 'roles/firestore.serviceAgent', 'roles/iam.serviceAccountUser', 'roles/iap.admin', 'roles/iap.tunnelResourceAccessor', 'roles/logging.privateLogViewer', 'roles/logging.serviceAgent', 'roles/logging.viewer', 'roles/managedidentities.serviceAgent', 'roles/networkmanagement.serviceAgent', 'roles/notebooks.serviceAgent', 'roles/osconfig.serviceAgent', 'roles/owner', 'roles/redis.serviceAgent', 'roles/run.admin', 'roles/run.serviceAgent', 'roles/run.viewer', 'roles/servicenetworking.serviceAgent', 'roles/serviceusage.serviceUsageConsumer', 'roles/serviceusage.serviceUsageViewer', 'roles/sourcerepo.serviceAgent', 'roles/storage.admin', 'roles/storage.objectViewer', 'roles/viewer', 'roles/vmwareengine.serviceAgent', 'roles/websecurityscanner.serviceAgent', 'roles/workstations.serviceAgent']
//cloudbilling.googleapis.com/billingAccounts/000000-000002-6D3BF8                                                       ['roles/billing.admin', 'roles/billing.user']
//cloudresourcemanager.googleapis.com/organizations/933250405420                                                         ['roles/billing.creator', 'roles/billing.user', 'roles/cloudbuild.builds.builder', 'roles/cloudfunctions.serviceAgent', 'roles/cloudkms.admin', 'roles/cloudsql.admin', 'roles/compute.admin', 'roles/container.admin', 'roles/container.clusterAdmin', 'roles/containeranalysis.admin', 'roles/dataflow.admin', 'roles/dns.admin', 'roles/iam.organizationRoleAdmin', 'roles/iam.serviceAccountAdmin', 'roles/iam.serviceAccountTokenCreator', 'roles/iap.admin', 'roles/iap.tunnelResourceAccessor', 'roles/logging.admin', 'roles/logging.configWriter', 'roles/monitoring.admin', 'roles/orgpolicy.policyAdmin', 'roles/owner', 'roles/pubsub.admin', 'roles/resourcemanager.folderAdmin', 'roles/resourcemanager.folderIamAdmin', 'roles/resourcemanager.organizationAdmin', 'roles/resourcemanager.organizationViewer', 'roles/resourcemanager.projectCreator', 'roles/resourcemanager.projectIamAdmin', 'roles/securitycenter.serviceAgent', 'roles/servicemanagement.quotaAdmin', 'roles/servicemanagement.quotaViewer', 'roles/servicemanagement.serviceController', 'roles/serviceusage.serviceUsageAdmin', 'roles/storage.admin']
